Status,Código da coleção,Tombo MHNBA,Tombo Projeto,Desig.,Ordem,Subordem,Família,Subfamília,Tribo,Gênero,Subgênero,Espécie,Autor sp.,Sexo,Determinação,Data Col.,Hora,UR %,Temp. ºC,País,UF,Município,Localidade,Complemento,Latitude,Longitude,Alt. (m),Coletor,Método de Coleta,Nº de especimes,Classe de tamanho,Projeto,Cód. de Campo,Ambiente,Obs,Espécie vegetal visitada,# Ninho,Caixa,Referência
,Blatto.,00001,MR001,,Blattodea,Blattaria,Blaberidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Pitfall,4,"Classe 4, 5, 6",,ARA 02,,1,,,,
,Blatto.,00003,MR003,,Blattodea,Blattaria,Blaberidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,2,Classe 6,,ARA 03,,2,,,,
,Blatto.,00004,MR004,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26.iii.2022,,,,Brasil,Ceará,Crato,,,-7.30628,-39.45638,,Rilquer Mascarenhas,Malaise,2,Classe 5,,ARA 01,,3,,,,
,Blatto.,00005,MR005,,Blattodea,Blattaria,Blaberidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,2,"Classe 5, 6",,ARA 03,,4,,,,
,Blatto.,00006,MR006,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,5,Classe 5,,ARA 03,,4,,,,
,Blatto.,00007,MR007,,Blattodea,Isoptera,Termitidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,2,Classe 3,,ARA 03,,4,,,,
,Blatto.,00009,MR009,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,3,Classe 5,,ARA 03,,5,,,,
,Blatto.,00010,MR010,,Blattodea,Blattaria,Blattelidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26..iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Malaise,9,Classe 5,,ARA 03,,6,,,,
,Blatto.,00011,MR011,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-27.iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Pitfall,4,Classe 5,,ARA 03,,7,,,,
,Blatto.,00012,MR012,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26.iii.2022,,,,Brasil,Ceará,Crato,,,-7.30628,-39.45638,,Rilquer Mascarenhas,Pitfall,1,Classe 3,,ARA 01,,8,,,,
,Blatto.,00013,MR013,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Malaise,3,Classe 4,,ARA 02,,9,,,,
,Blatto.,00016,MR016,,Blattodea,Isoptera,Termitidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",03-19.iv.2022,,,,Brasil,Ceará,Ubajara,,,-4.06658,-40.8454,,"Rilquer M., Marcel L., Isabelle L., André M.",Pitfall,1,Classe 3,,UBA03,,11,,,,
,Blatto.,00017,MR017,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",03-19.iv.2022,,,,Brasil,Ceará,Ubajara,,,-4.06658,-40.8454,,"Rilquer M., Marcel L., Isabelle L., André M.",Pitfall,1,Classe 4,,UBA03,,11,,,,
,Blatto.,00018,MR018,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",03-19.iv.2022,,,,Brasil,Ceará,Ubajara,,,-3.83657,-40.91135,,"Rilquer M., Marcel L., Isabelle L., André M.",Pitfall,1,Classe 5,,UBA02,,13,,,,
,Blatto.,00019,MR019,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",03-19.iv.2022,,,,Brasil,Ceará,Ubajara,,,-3.84109,-40.94129,,"Rilquer M., Marcel L., Isabelle L., André M.",Malaise,1,Classe 5,,UBA01,,14,,,,
,Blatto.,00020,MR020,,Blattodea,Blattaria,Blattellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",03-19.iv.2022,,,,Brasil,Ceará,Ubajara,,,-3.83657,-40.91135,,"Rilquer M., Marcel L., Isabelle L., André M.",Malaise,1,Classe 5,,UBA02,,15,,,,
,Coleo.,06001,MR021,,Coleoptera,,Carabidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Pitfall,1,Classe 3,,ARA 02,,1,,,,
,Coleo.,06002,MR022,,Coleoptera,,Staphylinidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Pitfall,1,Classe 3,,ARA 02,,1,,,,
,Coleo.,06003,MR023,,Coleoptera,,Curculionidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Pitfall,3,"Classe 2, 3",,ARA 02,,1,,,,
,Coleo.,06004,MR024,,Coleoptera,,Microsporidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",02-15.i.2020,,,,Brasil,Ceará,Crato,Fazenda Seu Luis,,-7.21718,-39.4736,,"Rilquer M., Lucas P.",Pitfall,1,Classe 3,,ARA 02,,1,,,,
,Coleo.,06006,MR026,,Coleoptera,,Carabidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,1,Classe 6,,ARA 03,,2,,,,
,Coleo.,06007,MR027,,Coleoptera,,Nitidulidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,1,Classe 3,,ARA 03,,2,,,,
,Coleo.,06008,MR028,,Coleoptera,,Staphylinidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,5,"Classe 2, 3",,ARA 03,,2,,,,
,Coleo.,06009,MR029,,Coleoptera,,Curculionidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,1,Classe 3,,ARA 03,,2,,,,
,Coleo.,06010,MR030,,Coleoptera,,Chrysomelidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26.iii.2022,,,,Brasil,Ceará,Crato,,,-7.30628,-39.45638,,Rilquer Mascarenhas,Malaise,2,"Classe 2, 3",,ARA 01,,3,,,,
,Coleo.,06015,MR035,,Coleoptera,,Curculionidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,2,"Classe 2, 4",,ARA 03,,4,,,,
,Coleo.,06016,MR036,,Coleoptera,,Hybosoridae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,1,Classe 5,,ARA 03,,4,,,,
,Coleo.,06017,MR037,,Coleoptera,,Carabidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,2,Classe 5,,ARA 03,,4,,,,
,Coleo.,06018,MR038,,Coleoptera,,Nitidulidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Pitfall,3,"Classe 3, 4",,ARA 03,,4,,,,
,Coleo.,06020,MR040,,Coleoptera,,Curculionidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,2,"Classe 2, 4",,ARA 03,,5,,,,
,Coleo.,06021,MR041,,Coleoptera,,Phengodidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,3,"Classe 4, 5",,ARA 03,,5,,,,
,Coleo.,06022,MR042,,Coleoptera,,Carabidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,1,Classe 3,,ARA 03,,5,,,,
,Coleo.,06023,MR043,,Coleoptera,,Mordelidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,5,Classe 3,,ARA 03,,5,,,,
,Coleo.,06024,MR045,,Coleoptera,,Chrysomelidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,5,"Classe 2, 3",,ARA 03,,5,,,,
,Coleo.,06025,MR046,,Coleoptera,,Coccinellidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",06-13.i.2020,,,,Brasil,Ceará,Barbalha,Fazenda Santa Rita,,-7.36641,-39.31042,,"Rilquer M., Lucas P.",Malaise,1,Class 2,,ARA 03,,5,,,,
,Coleo.,06027,MR048,,Coleoptera,,Chrysomelidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26..iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Malaise,7,"Classe 2, 3, 4",,ARA 03,,6,,,,
,Coleo.,06029,MR050,,Coleoptera,,Corylophidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26..iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Malaise,1,Classe 2,,ARA 03,,6,,,,
,Coleo.,06031,MR052,,Coleoptera,,Curculionidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26..iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Malaise,2,Classe 3,,ARA 03,,6,,,,
,Coleo.,06034,MR055,,Coleoptera,,Nitidulidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-26..iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Malaise,1,Classe 3,,ARA 03,,6,,,,
,Coleo.,06035,MR056,,Coleoptera,,Carabidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-27.iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Pitfall,3,"Classe 4, 6",,ARA 03,,7,,,,
,Coleo.,06036,MR057,,Coleoptera,,Staphylinidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-27.iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Pitfall,2,"Classe 2, 5",,ARA 03,,7,,,,
,Coleo.,06039,MR060,,Coleoptera,,Leiodidae,,,,,,,,"M. J. B. P. R., Miranda, 2022",12-27.iii.2022,,,,Brasil,Ceará,Barbalha,Trilha das Flores,,-7.389190112,-39.28148954,,Rilquer Mascarenhas,Pitfall,8,Classe 3,,ARA 03,,7,,,,
