Species,Location,Island,Point
Thamnophilus caerulescens,ipe_park,UBA,UBA3
Herpsilochmus atricapillus,ipe_park,UBA,UBA3
Conopophaga roberti,ipe_park,UBA,UBA3
Sclerurus cearensis,ipe_park,UBA,UBA3
Synallaxis scutata,ipe_park,UBA,UBA3
Chiroxiphia pareola,ipe_park,UBA,UBA3
Myiobius atricaudus,ipe_park,UBA,UBA3
Platyrinchus mystaceus,ipe_park,UBA,UBA3
Hemitriccus mirandae,ipe_park,UBA,UBA3
Todirostrum cinereum,ipe_park,UBA,UBA3
Tolmomyias flaviventris,ipe_park,UBA,UBA3
Megarynchus pitangua,ipe_park,UBA,UBA3
Empidonomus varius,ipe_park,UBA,UBA3
Tyrannus melancholicus,ipe_park,UBA,UBA3
Progne tapera,ipe_park,UBA,UBA3
Pheugopedius genibarbis,ipe_park,UBA,UBA3
Turdus leucomelas,ipe_park,UBA,UBA3
Euphonia chlorotica,ipe_park,UBA,UBA3
Arremon taciturnus,ipe_park,UBA,UBA3
Thraupis palmarum,ipe_park,UBA,UBA3
Stilpnia cayana,ipe_park,UBA,UBA3
Dacnis cayana,ipe_park,UBA,UBA3
Thamnophilus caerulescens,PN de Ubajara,UBA,UBA2
Herpsilochmus atricapillus,PN de Ubajara,UBA,UBA2
Conopophaga roberti,PN de Ubajara,UBA,UBA2
Sclerurus cearensis,PN de Ubajara,UBA,UBA2
Dendroplex picus,PN de Ubajara,UBA,UBA2
Chiroxiphia pareola,PN de Ubajara,UBA,UBA2
Todirostrum cinereum,PN de Ubajara,UBA,UBA2
Tolmomyias flaviventris,PN de Ubajara,UBA,UBA2
Megarynchus pitangua,PN de Ubajara,UBA,UBA2
Empidonomus varius,PN de Ubajara,UBA,UBA2
Tyrannus melancholicus,PN de Ubajara,UBA,UBA2
Pheugopedius genibarbis,PN de Ubajara,UBA,UBA2
Turdus leucomelas,PN de Ubajara,UBA,UBA2
Euphonia chlorotica,PN de Ubajara,UBA,UBA2
Arremon taciturnus,PN de Ubajara,UBA,UBA2
Thamnophilus caerulescens,Horto Florestal de Ubajara--sede,UBA,UBA1
Herpsilochmus atricapillus,Horto Florestal de Ubajara--sede,UBA,UBA1
Conopophaga roberti,Horto Florestal de Ubajara--sede,UBA,UBA1
Sclerurus cearensis,Horto Florestal de Ubajara--sede,UBA,UBA1
Sittasomus griseicapillus,Horto Florestal de Ubajara--sede,UBA,UBA1
Synallaxis scutata,Horto Florestal de Ubajara--sede,UBA,UBA1
Synallaxis frontalis,Horto Florestal de Ubajara--sede,UBA,UBA1
