Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Thamnophilus caerulescens),5,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Herpsilochmus atricapillus),2,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Conopophaga roberti),4,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Sclerurus scansor),5,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,Sclerurus cearensis (formerly subspecies of S. scansor)
 (Dendroplex picus),4,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Chiroxiphia pareola),6,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Todirostrum cinereum),2,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Tolmomyias flaviventris),2,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Megarynchus pitangua),1,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Empidonomus varius),1,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Tyrannus melancholicus),3,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Pheugopedius genibarbis),4,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Turdus leucomelas),5,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Euphonia chlorotica),2,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
 (Arremon taciturnus),6,PN de Ubajara,Stationary,"Apr 10, 2022",5:30 AM,5 hour(s),,,,4,true,15 species,
