Database	Indices	Field Search	Keywords and Boolean Operators	No. of Results	Date
Web of Science	Title; keywords; abstract	1	bird OR aves OR birds OR avifauna OR avian OR Rheiformes OR Tinamiformes OR Anseriformes OR Galliformes OR Podicipediformes OR Phoenicopteriformes OR Sphenisciformes OR Procellariiformes OR Phaethontiformes OR Ciconiiformes OR Suliformes OR Pelecaniformes OR Cathartiformes OR Accipitriformes OR Eurypygiformes OR Gruiformes OR Charadriiformes OR Columbiformes OR Opisthocomiformes OR Cuculiformes OR Strigiformes OR Steatornithiformes OR Nyctibiiformes OR Caprimulgiformes OR Apodiformes OR Trogoniformes OR Coraciiformes OR Galbuliformes OR Piciformes OR Cariamiformes OR Falconiformes OR Psittaciformes OR Passeriformes OR Rheidae OR Tinamidae OR Anhimidae OR Anatidae OR Cracidae OR Odontophoridae OR Phoenicopteridae OR Podicipedidae OR Columbidae OR Cuculidae OR Steatornithidae OR Nyctibiidae OR Caprimulgidae OR Apodidae OR Trochilidae OR Opisthocomidae OR Aramidae OR Psophiidae OR Rallidae OR Heliornithidae OR Charadriidae OR Haematopodidae OR Recurvirostridae OR Burhinidae OR Chionidae OR Scolopacidae OR Thinocoridae OR Jacanidae OR Rostratulidae OR Stercorariidae OR Laridae OR Rynchopidae OR Eurypygidae OR Phaethontidae OR Spheniscidae OR Diomedeidae OR Procellariidae OR Hydrobatidae OR Ciconiidae OR Fregatidae OR Sulidae OR Phalacrocoracidae OR Anhingidae OR Pelecanidae OR Ardeidae OR Threskiornithidae OR Cathartidae OR Pandionidae OR Accipitridae OR Tytonidae OR Strigidae OR Trogonidae OR Alcedinidae OR Momotidae OR Galbulidae OR Bucconidae OR Capitonidae OR Ramphastidae OR Picidae OR Cariamidae OR Falconidae OR Psittacidae OR Thamnophilidae OR Melanopareiidae OR Conopophagidae OR Grallariidae OR Rhinocryptidae OR Formicariidae OR Furnariidae OR Tyrannidae OR Oxyruncidae OR Cotingidae OR Pipridae OR Tityridae OR Vireonidae OR Corvidae OR Hirundinidae OR Troglodytidae OR Polioptilidae OR Donacobiidae OR Turdidae OR Mimidae OR Motacillidae OR Thraupidae OR Emberizidae OR Cardinalidae OR Parulidae OR Icteridae OR Fringillidae OR Estrildidae OR Passeridae	802	09/27/17
Web of Science	Title; keywords; abstract	2	morphological OR morphology OR body mass OR body length OR wing length OR tail length OR tarsus length OR bill length OR bill depth OR bill width OR age OR sex OR brood patch OR plumage OR molt OR moult		
Web of Science	Title; keywords; abstract	3	Atlantic forest OR Atlantic rainforest OR Mata Atlantica OR Brazil OR brazilian OR Brazilian		
SCOPUS	Title; keywords; abstract	1	bird OR birds OR aves OR avian OR avifaun* OR avifauna OR Rheiformes OR Tinamiformes OR Anseriformes OR Galliformes OR Podicipediformes OR Phoenicopteriformes OR Sphenisciformes OR Procellariiformes OR Phaethontiformes OR Ciconiiformes OR Suliformes	653	10/25/17
SCOPUS	Title; keywords; abstract	1	Pelecaniformes OR Cathartiformes OR Accipitriformes OR Eurypygiformes OR Gruiformes OR Charadriiformes OR Columbiformes OR Opisthocomiformes OR Cuculiformes OR Strigiformes OR Steatornithiformes OR Nyctibiiformes OR Caprimulgiformes OR Apodiformes	41	10/25/17
SCOPUS	Title; keywords; abstract	1	Trogoniformes OR Coraciiformes OR Galbuliformes OR Piciformes OR Cariamiformes OR Falconiformes OR Psittaciformes OR Passeriformes OR Rheidae OR Tinamidae OR Anhimidae OR Anatidae OR Cracidae OR Odontophoridae OR Phoenicopteridae OR Podicipedidae	134	10/25/17
SCOPUS	Title; keywords; abstract	1	Scolopacidae OR Thinocoridae OR Jacanidae OR Rostratulidae OR Stercorariidae OR Laridae OR Rynchopidae OR Eurypygidae OR Phaethontidae OR Spheniscidae OR Diomedeidae OR Procellariidae OR Hydrobatidae OR Ciconiidae OR Fregatidae OR Sulidae	36	10/25/17
SCOPUS	Title; keywords; abstract	1	Phalacrocoracidae OR Anhingidae OR Pelecanidae OR Ardeidae OR Threskiornithidae OR Cathartidae OR Pandionidae OR Accipitridae OR Tytonidae OR Strigidae OR Trogonidae OR Alcedinidae OR Momotidae OR Galbulidae OR Bucconidae OR Capitonidae OR Ramphastidae	35	10/25/17
SCOPUS	Title; keywords; abstract	1	Picidae OR Cariamidae OR Falconidae OR Psittacidae OR Thamnophilidae OR Melanopareiidae OR Conopophagidae OR Grallariidae OR Rhinocryptidae OR Formicariidae OR Furnariidae OR Tyrannidae OR Oxyruncidae OR Cotingidae OR Pipridae OR Tityridae OR Vireonidae	138	10/25/17
SCOPUS	Title; keywords; abstract	1	Corvidae OR Hirundinidae OR Troglodytidae OR Polioptilidae OR Donacobiidae OR Turdidae OR Mimidae OR Motacillidae OR Thraupidae OR Emberizidae OR Cardinalidae OR Parulidae OR Icteridae OR Fringillidae OR Estrildidae OR Passeridae	44	10/25/17
