"","Spp_ID","Binomial","No.Records","No.Localities","Body_mass.g.n","Body_mass.g.mean","Body_mass.g.sd","Body_mass.g.median","Body_mass.g.min","Body_mass.g.max","Body_mass.g.se","Body_length.mm.n","Body_length.mm.mean","Body_length.mm.sd","Body_length.mm.median","Body_length.mm.min","Body_length.mm.max","Body_length.mm.se","Wing_length.mm.n","Wing_length.mm.mean","Wing_length.mm.sd","Wing_length.mm.median","Wing_length.mm.min","Wing_length.mm.max","Wing_length.mm.se","Tail_length.mm.n","Tail_length.mm.mean","Tail_length.mm.sd","Tail_length.mm.median","Tail_length.mm.min","Tail_length.mm.max","Tail_length.mm.se","Tarsus_length.mm.n","Tarsus_length.mm.mean","Tarsus_length.mm.sd","Tarsus_length.mm.median","Tarsus_length.mm.min","Tarsus_length.mm.max","Tarsus_length.mm.se","Bill_length.mm.n","Bill_length.mm.mean","Bill_length.mm.sd","Bill_length.mm.median","Bill_length.mm.min","Bill_length.mm.max","Bill_length.mm.se","Bill_depth.mm.n","Bill_depth.mm.mean","Bill_depth.mm.sd","Bill_depth.mm.median","Bill_depth.mm.min","Bill_depth.mm.max","Bill_depth.mm.se","Bill_width.mm.n","Bill_width.mm.mean","Bill_width.mm.sd","Bill_width.mm.median","Bill_width.mm.min","Bill_width.mm.max","Bill_width.mm.se"
"1",1,"Chiroxiphia caudata",1837,210,1687,24.9,4.51,25,4.6,172,0.11,823,154,11.69,155,68,195,0.41,265,74.92,4.67,75,53,100,0.29,1262,56.4,7.29,55.62,25.8,155,0.21,416,20.89,2.77,21,7.3,41.1,0.14,1101,9.88,4.27,9.9,5,91,0.13,336,5.23,1.13,5,3,11.4,0.06,502,9.19,2.88,10,3.1,29.4,0.13
"2",2,"Turdus albicollis",1658,179,1473,66.78,7.78,66,26,114,0.2,863,228.38,15.42,230,77,340,0.52,469,112.45,8.94,112,56,159,0.41,1322,89.71,9.14,89.65,32.4,210,0.25,612,32.15,5.55,31.8,13,112,0.22,1203,19.38,2.94,19.87,6.6,50,0.08,384,6.82,1.59,6.5,3.7,16.1,0.08,380,9.37,2.83,9.9,4.39,19,0.15
"3",3,"Trichothraupis melanops",1468,242,1054,23.82,3.63,23.73,11,81,0.11,633,174.1,10.46,175,130,230,0.42,183,80.43,4.22,80,57,90,0.31,1158,74.75,4.35,75,21.1,88.6,0.13,319,20.83,4.01,20.7,12,77.2,0.22,1189,14.31,3.27,14,7,74,0.09,450,6.2,1.12,6,3.01,21.4,0.05,526,7.85,1.15,7.78,4.9,14.8,0.05
"4",4,"Turdus leucomelas",1436,168,1377,63.41,8.38,62.6,6.8,125,0.23,408,232.94,47.99,227,90,595,2.38,684,114.8,6.71,115,55,150.4,0.26,818,97.27,10.59,97,35,233,0.37,650,31.69,3.55,31.73,15.6,40.9,0.14,716,20.37,3.54,19.55,8.2,47.1,0.13,415,7.41,3.13,7,1.3,61,0.15,455,11,2.98,11.4,1.45,22.65,0.14
"5",5,"Basileuterus culicivorus",1384,243,1268,9.6,1.99,9.2,5.5,53,0.06,635,131.55,27.36,128,75,317,1.09,377,56.15,4.82,56,36.6,116,0.25,999,53.38,4.68,53.6,21,98,0.15,497,19.4,2.37,19.35,10.9,33.4,0.11,894,10.63,4.08,10.18,5.1,93,0.14,274,3.8,1.03,3.54,2,13.9,0.06,291,5.66,1.49,5.5,2.7,16.2,0.09
"6",6,"Turdus amaurochalinus",1308,158,1201,59.67,7.61,59,12,157,0.22,253,225.31,18.2,225,97,290,1.14,445,112.82,7.36,113,45,175,0.35,735,96.8,11.51,95,30.8,130,0.42,515,33.5,6.17,33,11,116,0.27,518,20.11,2.52,20,12,37.8,0.11,207,6.39,0.87,6.2,4.17,11.7,0.06,216,8.6,3.9,6.87,4.43,28.9,0.27
"7",7,"Coereba flaveola",1248,148,1135,9.55,1.53,9.5,4,30,0.05,219,115.69,40.68,108,76,286,2.75,258,55.35,4.14,56,35,67,0.26,448,36.56,7.64,35,24,67,0.36,254,16.75,1.75,16.61,11,27.5,0.11,308,13.25,6.91,12.85,7.7,132,0.39,137,4.12,0.51,4.02,3.25,5.82,0.04,138,4.59,1.31,4.14,2.9,10.6,0.11
"8",8,"Turdus rufiventris",1225,191,1097,72.42,7.35,72,12.5,122,0.22,549,246.12,17.03,250,94,277,0.73,286,118.8,8.67,119,96,181,0.51,966,106.77,10.15,106,35,150,0.33,547,36.06,3.46,36,18.1,67.6,0.15,754,21.12,2.84,21.25,7.09,29,0.1,329,7.37,1.25,7.1,2.7,14.8,0.07,350,9.44,3.38,8,4.8,23.1,0.18
"9",9,"Platyrinchus mystaceus",1213,208,1089,9.35,3.39,9,4.5,102,0.1,506,97.72,11.93,97,64,290,0.53,258,53.41,4.51,53,36,83.8,0.28,773,31.31,5.56,30.73,20.1,65,0.2,378,17.31,6.57,17,9,137,0.34,771,10.22,4.35,10,4.5,83,0.16,318,3.54,0.97,3.32,2,10.5,0.05,335,8.75,1.35,8.8,3.1,18.7,0.07
"10",10,"Elaenia cristata",1133,19,1107,16.66,2.24,16.5,9,52,0.07,62,230.95,86.57,227,119,368,10.99,0,NA,NA,NA,Inf,-Inf,NA,58,58.12,4.63,58,48,74,0.61,0,NA,NA,NA,Inf,-Inf,NA,34,11.55,1.21,11.3,9.3,16.5,0.21,35,4.5,0.42,4.4,3.5,5.5,0.07,35,8.18,1.59,8.1,5.1,12.5,0.27
"11",11,"Elaenia chilensis",1089,9,1077,15.86,1.82,15.5,10.5,26.75,0.06,5,157.2,13.83,155,143,180,6.18,2,71,2.83,71,69,73,2,4,61,10.2,63,47,71,5.1,2,16.6,1.98,16.6,15.2,18,1.4,3,11.43,4.21,9,9,16.3,2.43,2,6,0.99,6,5.3,6.7,0.7,4,8.57,1.42,9.09,6.5,9.6,0.71
"12",12,"Tachyphonus rufus",1081,22,1041,30.75,2.56,30.7,15,46,0.08,91,253.42,100.37,191,152,428,10.52,606,85.89,3.91,86,71,99,0.16,660,80.42,4.33,81,33,93.75,0.17,256,23.64,1.5,23.65,14.6,29,0.09,293,18.81,1.63,18.8,13.2,29.4,0.1,84,8.53,0.77,8.55,6.2,10.5,0.08,84,9.1,0.97,9.05,6.8,11.8,0.11
"13",13,"Conopophaga lineata",1035,168,918,21.28,3.42,21,8,62.5,0.11,587,133.13,28.18,130,88,387,1.16,267,70.41,4.13,70,40,86,0.25,739,46.89,17.88,46,23,460,0.66,412,29.69,4.19,29.9,14.5,91,0.21,717,12.56,4.5,12,6.9,110,0.17,273,4.4,0.85,4.2,3.47,9.9,0.05,293,7.54,1.82,7.2,3.1,13.8,0.11
